threshold,precision,recall,f1,tp,fp,fn
0.7009009009009008,0.7841697266421869,0.5268640350877193,0.6302672569273652,1922,529,1726
0.7018018018018017,0.7856850715746422,0.5265899122807017,0.6305596586246512,1921,524,1727
0.7027027027027027,0.7854217854217854,0.5257675438596491,0.6298850574712643,1918,524,1730
0.7036036036036036,0.7857435477263417,0.5257675438596491,0.6299885038594186,1918,523,1730
0.7045045045045045,0.7863002461033635,0.5254934210526315,0.6299704239237593,1917,521,1731
0.7054054054054054,0.785831960461285,0.5230263157894737,0.6280447662936143,1908,520,1740
0.7063063063063063,0.7859504132231405,0.5213815789473685,0.6268951878707978,1902,518,1746
0.7072072072072072,0.7858619264158744,0.5211074561403509,0.6266688643481128,1901,518,1747
0.7081081081081081,0.7860696517412935,0.5197368421052632,0.6257425742574257,1896,516,1752
0.709009009009009,0.7870216306156406,0.518640350877193,0.6252478519497686,1892,512,1756
0.7099099099099099,0.7883089770354906,0.5175438596491229,0.6248552043686911,1888,507,1760
0.7108108108108108,0.788549937317175,0.5172697368421053,0.6247310048005297,1887,506,1761
0.7117117117117117,0.789694176790951,0.5167214912280702,0.6246893123446562,1885,502,1763
0.7126126126126126,0.7908441831163376,0.5161732456140351,0.6246475369049594,1883,498,1765
0.7135135135135136,0.7920875420875421,0.5158991228070176,0.6248339973439575,1882,494,1766
0.7144144144144144,0.7927548441449032,0.5158991228070176,0.6250415144470276,1882,492,1766
0.7153153153153153,0.7930889169827223,0.5158991228070176,0.6251453246968943,1882,491,1766
0.7162162162162162,0.7929143821172501,0.5153508771929824,0.6246884864595448,1880,491,1768
0.7171171171171171,0.7925644275454161,0.5142543859649122,0.6237738985868663,1876,491,1772
0.718018018018018,0.7928843710292249,0.5131578947368421,0.6230654018971543,1872,489,1776
0.7189189189189189,0.7924448217317487,0.5117872807017544,0.6219187208527648,1867,489,1781
0.7198198198198198,0.7926051848703782,0.5112390350877193,0.6215630728211965,1865,488,1783
0.7207207207207207,0.7935291613452533,0.5109649122807017,0.6216441554110388,1864,485,1784
0.7216216216216216,0.793691389599318,0.5104166666666666,0.6212879546212879,1862,484,1786
0.7225225225225225,0.7945322511747117,0.5098684210526315,0.6211387543830355,1860,481,1788
0.7234234234234234,0.7946084724005135,0.509046052631579,0.6205513784461154,1857,480,1791
0.7243243243243244,0.7941680960548885,0.5076754385964912,0.6193979933110368,1852,480,1796
0.7252252252252253,0.7942439862542955,0.5068530701754386,0.6188085676037482,1849,479,1799
0.7261261261261261,0.7940542869452822,0.5052083333333334,0.617523873345619,1843,478,1805
0.727027027027027,0.7940542869452822,0.5052083333333334,0.617523873345619,1843,478,1805
0.7279279279279279,0.7940542869452822,0.5052083333333334,0.617523873345619,1843,478,1805
0.7288288288288288,0.7946505608283002,0.5049342105263158,0.6174991619175326,1842,476,1806
0.7297297297297297,0.7949718248807975,0.5027412280701754,0.6159529806884971,1834,473,1814
0.7306306306306306,0.7947939262472885,0.5021929824561403,0.615487989249118,1832,473,1816
0.7315315315315315,0.7956521739130434,0.5016447368421053,0.6153328850033625,1830,470,1818
0.7324324324324324,0.796078431372549,0.5008223684210527,0.6148409893992933,1827,468,1821
0.7333333333333333,0.7959807776321538,0.4994517543859649,0.6137780023580932,1822,467,1826
0.7342342342342342,0.7961504811898513,0.49890350877192985,0.6134142231209977,1820,466,1828
0.7351351351351352,0.796572934973638,0.49698464912280704,0.612086428089129,1813,463,1835
0.7360360360360361,0.7970950704225352,0.49643640350877194,0.6118243243243243,1811,461,1837
0.736936936936937,0.7969991173874669,0.49506578947368424,0.6107541427122083,1806,460,1842
0.7378378378378379,0.796730004418913,0.4942434210526316,0.6100490610725765,1803,460,1845
0.7387387387387387,0.796812749003984,0.4934210526315789,0.6094464195022854,1800,459,1848
0.7396396396396396,0.7976929902395741,0.4928728070175439,0.6092849881396136,1798,456,1850
0.7405405405405405,0.7976878612716763,0.4917763157894737,0.6084449720196711,1794,455,1854
0.7414414414414414,0.7982182628062361,0.49122807017543857,0.608179195655863,1792,453,1856
0.7423423423423423,0.7990174184903975,0.49040570175438597,0.6077798539154069,1789,450,1859
0.7432432432432432,0.800268696820421,0.48985745614035087,0.6077197755483761,1787,446,1861
0.7441441441441441,0.8002692998204668,0.4887609649122807,0.6068754254594961,1783,445,1865
0.745045045045045,0.801980198019802,0.48848684210526316,0.6071550255536629,1782,440,1866
0.745945945945946,0.8031602708803611,0.4876644736842105,0.6068565580760703,1779,436,1869
0.7468468468468469,0.8032564450474898,0.4868421052631579,0.6062467997951869,1776,435,1872
0.7477477477477478,0.8035390199637024,0.48547149122807015,0.6052631578947368,1771,433,1877
